titulo,autor,año,puntuación,categoría,idioma,análisis,tags,referencia
"Crime and Punishment","Fyodor Dostoevsky","1866","9","Catholic classic","en","Deeply Christian exploration of sin, guilt, redemption and the transformative power of suffering and love. Widely commended by Catholic thinkers.","Sin|Redemption|Suffering","Christian literary tradition"
"El Código Da Vinci","Dan Brown","2003","1","Crítico","es","Presenta como histórica la tesis sin base académica de que Jesús se casó con María Magdalena y la Iglesia lo ocultó. Distorsiona deliberadamente la historia del cristianismo primitivo.","Desinformación|Gnosticismo|Anti-Iglesia","Refutado por Pontificia Comisión Bíblica"
"The Da Vinci Code","Dan Brown","2003","1","Critical","en","Presents as historical fact the academically unsupported claim that Jesus married Mary Magdalene and the Church concealed it. Deliberately distorts early Christian history.","Misinformation|Gnosticism|Anti-Church","Refuted by Pontifical Biblical Commission"
"El Anticristo","Friedrich Nietzsche","1895","1","Crítico","es","Ataque sistemático al cristianismo como 'moral de esclavos'. Nietzsche rechaza explícitamente los valores evangélicos y propone su superación filosófica.","Ateísmo|Nihilismo|Anti-cristiano","Contrario a CIC 2089"
"The Antichrist","Friedrich Nietzsche","1895","1","Critical","en","A systematic attack on Christianity as 'slave morality'. Nietzsche explicitly rejects Gospel values and calls for their philosophical transcendence.","Atheism|Nihilism|Anti-Christian","Contrary to CCC 2089"
"Así Habló Zaratustra","Friedrich Nietzsche","1883","1","Crítico","es","Proclama la 'muerte de Dios' y el Übermensch como superación del hombre cristiano. Fundamentalmente contrario a la antropología y teología católica.","Ateísmo|Superhombre|Muerte de Dios","Contrario a CIC 2089, GS 19"
"Thus Spoke Zarathustra","Friedrich Nietzsche","1883","1","Critical","en","Proclaims the 'death of God' and the Übermensch as the overcoming of Christian humanity. Fundamentally contrary to Catholic anthropology.","Atheism|Overman|Death of God","Contrary to CCC 2089"
"The God Delusion","Richard Dawkins","2006","1","Critical","en","A systematic argument that God is a delusion and religion is harmful. Directly attacks Catholic theology, the existence of God and religious morality.","Atheism|Anti-religion|Materialism","Contrary to CCC 31, 36"
"God Is Not Great","Christopher Hitchens","2007","1","Critical","en","Argues that religion 'poisons everything'. A direct and sustained attack on Catholicism, its history, institutions and moral claims.","Atheism|Anti-religion|Secularism","Contrary to CCC 31"
"The Golden Compass","Philip Pullman","1995","1","Critical","en","Pullman has stated the series is explicitly anti-Catholic. The 'Magisterium' is a villainous oppressive Church. The series culminates in a symbolic killing of God.","Anti-Church|Anti-Catholic|Fantasy","Condemned by Catholic League (2007)"
"La Brújula Dorada","Philip Pullman","1995","1","Crítico","es","Pullman ha declarado que la serie es deliberadamente anti-cristiana. El 'Magisterio' es una Iglesia opresora villana. La serie culmina en una muerte simbólica de Dios.","Anti-Iglesia|Anti-católico|Fantasía","Condenada por Catholic League (2007)"
"Ángeles y Demonios","Dan Brown","2000","2","Crítico","es","Retrata a líderes de la Iglesia como asesinos y al Vaticano como institución opresora. Históricamente inexacto y deliberadamente hostil.","Anti-Iglesia|Desinformación|Thriller","Históricamente inexacto según expertos vaticanos"
"Angels & Demons","Dan Brown","2000","2","Critical","en","Portrays Church leaders as murderers and the Vatican as oppressive. Historically inaccurate and deliberately hostile to the Catholic Church.","Anti-Church|Misinformation|Thriller","Historically inaccurate per Vatican scholars"
"Sapiens","Yuval Noah Harari","2011","2","Crítico","es","Trata la religión como 'ficción colectiva'. Reduce el cristianismo a una narrativa cultural sin valor de verdad. Materialismo histórico incompatible con la fe católica.","Materialismo|Secularismo|Historia","Contrario a Dei Verbum, CIC 36"
"Sapiens","Yuval Noah Harari","2011","2","Critical","en","Treats religion as a 'collective fiction'. Reduces Christianity to a cultural narrative without truth value. Historical materialism incompatible with Catholic faith.","Materialism|Secularism|History","Contrary to Dei Verbum"
"Homo Deus","Yuval Noah Harari","2015","1","Crítico","es","Argumenta que los humanos se convertirán en dioses mediante la tecnología, sustituyendo a la religión. Incompatible con la antropología católica y la existencia de Dios.","Transhumanismo|Ateísmo|Tecnología","Contrario a CIC 36, 2289"
"Homo Deus","Yuval Noah Harari","2015","1","Critical","en","Argues humans will become gods through technology, replacing religion. Directly incompatible with Catholic anthropology and the existence of a transcendent God.","Transhumanism|Atheism|Technology","Contrary to CCC 36, 2289"
"El Capital","Karl Marx","1867","2","Crítico","es","La doctrina marxista es incompatible con la doctrina social católica: niega la propiedad privada legítima y la transcendencia. La Iglesia ha condenado el comunismo en múltiples documentos.","Marxismo|Ateísmo|Materialismo","Rerum Novarum, Divini Redemptoris"
"The Communist Manifesto","Marx & Engels","1848","1","Critical","en","Foundational text of communism, condemned by the Church for its materialism, class hatred and abolition of family and private property.","Communism|Materialism|Atheism","Divini Redemptoris, Pius XI (1937)"
"El Secreto","Rhonda Byrne","2006","1","Crítico","es","Promueve la 'ley de atracción': los humanos pueden controlar la realidad con el pensamiento. Incompatible con la doctrina católica sobre oración, providencia y humildad.","New Age|Pensamiento mágico|Autoayuda","Contrario a CIC 2116, 2117"
"The Secret","Rhonda Byrne","2006","1","Critical","en","Promotes the 'law of attraction': humans can control reality through thought. Incompatible with Catholic teaching on prayer, providence and humility.","New Age|Magic thinking|Self-help","Contrary to CCC 2116, 2117"
"Cincuenta Sombras de Grey","E.L. James","2011","1","Crítico","es","Contenido explícitamente sexual que promueve relaciones BDSM. Incompatible con la doctrina católica sobre la sexualidad humana y la dignidad de la persona.","Sexualidad|Inmoralidad|Contenido adulto","Contrario a CIC 2337, 2362"
"Fifty Shades of Grey","E.L. James","2011","1","Critical","en","Explicitly sexual content promoting BDSM. Incompatible with Catholic teaching on human sexuality, the dignity of persons and the meaning of conjugal love.","Sexuality|Immorality|Adult content","Contrary to CCC 2337, 2362"
"El Cuento de la Criada","Margaret Atwood","1985","2","Crítico","es","Presenta una teocracia cristiana como distopía totalitaria. Usa la imaginería cristiana de forma negativa. Ampliamente considerada hostil al cristianismo.","Anti-cristiano|Distopía|Feminismo","Críticos católicos: encuadre hostil"
"The Handmaid's Tale","Margaret Atwood","1985","2","Critical","en","Presents a Christian theocracy as a totalitarian dystopia. Uses Catholic and Protestant imagery negatively. Widely seen as hostile to Christianity.","Anti-Christian|Dystopia|Feminism","Catholic critics: hostile framing"
"El Nombre de la Rosa","Umberto Eco","1980","5","Ambiguo","es","Novela histórica ambientada en un monasterio medieval. Eco era agnóstico pero el texto no ataca la fe directamente. Lectura neutral para católicos.","Historia|Medioevo|Misterio","Análisis literario general"
"The Name of the Rose","Umberto Eco","1980","5","Ambiguous","en","Historical novel set in a medieval monastery. Eco was agnostic but the text does not directly attack faith. Neutral reading for Catholics.","History|Middle Ages|Mystery","General literary analysis"
"Harry Potter y la Piedra Filosofal","J.K. Rowling","1997","5","Ambiguo","es","Ha generado debate en comunidades católicas. El Vaticano emitió valoraciones mixtas. Algunos obispos la recomiendan por temas de sacrificio y amor; otros señalan la presentación positiva de la magia. No está condenada.","Magia|Fantasía|Debate","Declaraciones Vaticano (2003, 2009)"
"Harry Potter and the Philosopher's Stone","J.K. Rowling","1997","5","Ambiguous","en","Has generated debate in Catholic circles. The Vatican issued mixed assessments. Some bishops recommend it for themes of sacrifice and love; others flag the positive portrayal of magic. Not condemned.","Magic|Fantasy|Debate","Vatican statements (2003, 2009)"
"Los Pilares de la Tierra","Ken Follett","1989","4","Ambiguo","es","Follett es ateo declarado y la novela refleja una visión crítica de la institución eclesiástica, aunque no ataca la fe en sí. Presenta clérigos corruptos y virtuosos.","Historia|Medioevo|Iglesia institucional","Análisis literario católico"
"The Pillars of the Earth","Ken Follett","1989","4","Ambiguous","en","Follett is a declared atheist and the novel reflects a critical view of the Church as institution, though it does not attack faith itself. Presents both corrupt and virtuous clergy.","History|Middle Ages|Church institution","Catholic literary analysis"
"1984","George Orwell","1949","6","Ambiguo","es","Distopía que defiende dignidad humana, verdad y libertad de conciencia. Valores plenamente compatibles con la doctrina social católica. Orwell no era religioso pero el marco moral se alinea.","Dignidad|Libertad|Totalitarismo","Doctrina Social de la Iglesia"
"1984","George Orwell","1949","6","Ambiguous","en","Dystopia defending human dignity, truth and freedom of conscience — values compatible with Catholic social teaching. Orwell was not religious but the moral framework aligns.","Dignity|Freedom|Totalitarism","Catholic Social Teaching"
"El Principito","Antoine de Saint-Exupéry","1943","7","Ambiguo","es","Fábula filosófica con valores compatibles con la ética cristiana: amor desinteresado, responsabilidad, búsqueda de lo esencial. No es obra religiosa pero sus valores no contradicen la doctrina.","Valores|Amor|Filosofía","Compatibilidad ética general"
"The Little Prince","Antoine de Saint-Exupéry","1943","7","Ambiguous","en","Philosophical fable with values compatible with Christian ethics: selfless love, responsibility, search for the essential. Not religious but its values do not contradict Catholic doctrine.","Values|Love|Philosophy","General ethical compatibility"
"El Alquimista","Paulo Coelho","1988","3","Ambiguo","es","Mezcla sincretista de espiritualidades: New Age, esoterismo y religiones orientales. La 'Leyenda Personal' como guía moral es incompatible con la vocación cristiana como llamada de Dios.","New Age|Sincretismo|Esoterismo","Contrario a CIC 2116, 2117"
"The Alchemist","Paulo Coelho","1988","3","Ambiguous","en","Syncretic mix of New Age, esoterism and Eastern spiritualities. The 'Personal Legend' as moral guide is incompatible with the Christian vocation as God's call.","New Age|Syncretism|Esoterism","Contrary to CCC 2116, 2117"
"Matar a un Ruiseñor","Harper Lee","1960","8","Ambiguo","es","Defiende la dignidad humana, la justicia y la compasión. Valores plenamente compatibles con la doctrina social católica. Sin conflictos doctrinales.","Justicia|Dignidad|Compasión","Doctrina Social de la Iglesia"
"To Kill a Mockingbird","Harper Lee","1960","8","Ambiguous","en","Defends human dignity, justice and compassion. Values fully compatible with Catholic social teaching. No doctrinal conflicts.","Justice|Dignity|Compassion","Catholic Social Teaching"
"Siddhartha","Hermann Hesse","1922","2","Ambiguo","es","Novela sobre la búsqueda espiritual budista. Presenta la iluminación personal sin referencia a Dios ni a la redención. Visión espiritual incompatible con el camino de salvación cristiano.","Budismo|Sincretismo|Espiritualidad","Contrario a Dominus Iesus"
"Siddhartha","Hermann Hesse","1922","2","Ambiguous","en","Novel of Buddhist spiritual seeking. Presents personal enlightenment without reference to God or redemption. Spiritual vision incompatible with the Christian path of salvation.","Buddhism|Syncretism|Spirituality","Contrary to Dominus Iesus"
"Un Mundo Feliz","Aldous Huxley","1932","4","Ambiguo","es","Distopía que critica el hedonismo y la pérdida de trascendencia, compatible con advertencias católicas sobre el consumismo. Sin embargo, Huxley promovía el misticismo psicodélico.","Distopía|Hedonismo|Trascendencia","Compatibilidad parcial con DSI"
"Brave New World","Aldous Huxley","1932","4","Ambiguous","en","Dystopia criticising hedonism and loss of transcendence, compatible with Catholic warnings on consumerism. However Huxley promoted psychedelic mysticism incompatible with Catholic spirituality.","Dystopia|Hedonism|Transcendence","Partial compatibility with CST"
"The Shack","William P. Young","2007","3","Ambiguous","en","Presents a heterodox vision of the Trinity. Widely criticized by Catholic and Protestant theologians for theological errors, universalism and unorthodox depictions of God.","Heterodoxy|Trinity|Universalism","Criticized by Catholic theologians"
"Eat Pray Love","Elizabeth Gilbert","2006","2","Ambiguous","en","Promotes a syncretic spiritual journey mixing Hinduism, Buddhism and vague theism. Incompatible with Catholic teaching on the uniqueness of Christ and the Church.","Syncretism|New Age|Spirituality","Contrary to CCC 843, Dominus Iesus"
"El Origen de las Especies","Charles Darwin","1859","4","Ambiguo","es","La evolución no es condenada por la Iglesia, que la acepta como compatible con la creación. La tensión surge en la interpretación del alma humana, que la Iglesia considera creación directa de Dios.","Evolución|Ciencia|Creación","CIC 283, Juan Pablo II (1996)"
"Breaking the Spell","Daniel Dennett","2006","2","Critical","en","Treats religion as a natural phenomenon to be studied scientifically, denying its transcendent claims. Reductionist view incompatible with Catholic theology.","Naturalism|Reductionism|Secularism","Contrary to CCC 36"
"La Ciudad de Dios","San Agustín","413–426","10","Clásico católico","es","Tratado fundamental sobre la relación entre la Iglesia y el mundo. Pilar de la teología política católica. Escrito como respuesta al saqueo de Roma.","Eclesiología|Historia|Filosofía","Catecismo de la Iglesia Católica"
"The City of God","St. Augustine","413–426","10","Catholic classic","en","Foundational treatise on the relationship between the Church and the world. A pillar of Catholic political theology written in response to the sack of Rome.","Ecclesiology|History|Philosophy","Catechism of the Catholic Church"
"La Suma Contra los Gentiles","Santo Tomás de Aquino","1259–1265","10","Clásico católico","es","Obra apologética de Tomás de Aquino dirigida a no creyentes. Defiende racionalmente la fe católica sin recurrir a la autoridad de la Escritura.","Apologética|Filosofía|Razón","Magisterio de la Iglesia"
"Interior Castle","St. Teresa of Ávila","1577","10","Catholic classic","en","Mystical masterpiece by a Doctor of the Church describing the soul's journey to God through seven dwelling places. One of the greatest works of Catholic mysticism.","Mysticism|Prayer|Soul","Doctor of the Church, 1970"
"El Castillo Interior","Santa Teresa de Ávila","1577","10","Clásico católico","es","Obra mística cumbre de la Doctora de la Iglesia. Describe el camino del alma hacia Dios a través de siete moradas. Uno de los grandes textos del misticismo católico.","Mística|Oración|Alma","Doctora de la Iglesia, 1970"
"Subida al Monte Carmelo","San Juan de la Cruz","1578","10","Clásico católico","es","Tratado místico del Doctor de la Iglesia sobre la purificación del alma y la unión con Dios. Cumbre de la espiritualidad carmelita.","Mística|Purificación|Unión con Dios","Doctor de la Iglesia, 1926"
"Dark Night of the Soul","St. John of the Cross","1578","10","Catholic classic","en","Mystical treatise by a Doctor of the Church on the soul's purification and union with God. The summit of Carmelite spirituality.","Mysticism|Purification|Union with God","Doctor of the Church, 1926"
"Diálogos","Santa Catalina de Siena","1378","10","Clásico católico","es","Obra dictada místicamente por la Doctora de la Iglesia. Diálogo del alma con Dios sobre la providencia, la oración y la virtud.","Mística|Providencia|Virtud","Doctora de la Iglesia, 1970"
"The Everlasting Man","G.K. Chesterton","1925","9","Catholic classic","en","Chesterton's vision of world history through a Catholic lens. Cited by C.S. Lewis as key to his own conversion to Christianity.","History|Apologetics|Faith","Catholic intellectual tradition"
"El Hombre Eterno","G.K. Chesterton","1925","9","Clásico católico","es","Visión de la historia universal desde una perspectiva católica. C.S. Lewis la citó como clave en su propia conversión al cristianismo.","Historia|Apologética|Fe","Tradición intelectual católica"
"Brideshead Revisited","Evelyn Waugh","1945","8","Catholic classic","en","Novel by a Catholic convert exploring faith, grace and the aristocratic English Catholic world. Widely praised by Catholic literary critics for its theological depth.","Grace|Faith|Conversion","Catholic literary tradition"
"El poder y la gloria","Graham Greene","1940","8","Clásico católico","es","Novela de un católico practicante sobre un sacerdote perseguido en México anticlerical. Profunda meditación sobre la gracia, el pecado y la fidelidad a la vocación.","Gracia|Sacerdocio|Persecución","Tradición literaria católica"
"The Power and the Glory","Graham Greene","1940","8","Catholic classic","en","Novel by a devout Catholic about a priest hunted in anti-clerical Mexico. A profound meditation on grace, sin and fidelity to vocation.","Grace|Priesthood|Persecution","Catholic literary tradition"
"Quo Vadis","Henryk Sienkiewicz","1896","9","Novela histórica","es","Novela histórica sobre los primeros cristianos en Roma bajo Nerón. Premio Nobel 1905. Retrata el martirio y la fe con profunda simpatía católica.","Primeros cristianos|Martirio|Roma","Premio Nobel Literatura 1905"
"Quo Vadis","Henryk Sienkiewicz","1896","9","Historical novel","en","Historical novel about the first Christians in Rome under Nero. Nobel Prize 1905. Portrays martyrdom and faith with deep Catholic sympathy.","Early Christians|Martyrdom|Rome","Nobel Prize Literature 1905"
"El último Cátaro","Antonio Gala","1999","4","Novela histórica","es","Novela sobre la herejía cátara y la Inquisición. Presenta una visión crítica de la Iglesia medieval. Históricamente contextualizada pero con simpatía hacia los herejes.","Inquisición|Herejía|Medioevo","Análisis histórico literario"
"La Catedral del Mar","Ildefonso Falcones","2006","5","Novela histórica","es","Novela histórica sobre la construcción de Santa María del Mar en Barcelona medieval. Retrata la Iglesia con luces y sombras. Compatible con la fe aunque no es obra religiosa.","Medioevo|Barcelona|Iglesia","Análisis literario general"
"The Name of the Rose","Umberto Eco","1980","5","Historical novel","en","Historical mystery set in a medieval monastery. Eco was agnostic but the novel does not directly attack the faith. Presents both corrupt and virtuous clergy.","History|Middle Ages|Mystery","General literary analysis"
"Anya","Susan Fromberg Schaeffer","1974","6","Historical novel","en","Novel about the Holocaust that raises deep questions about God, suffering and human dignity. Compatible with Catholic reflection on theodicy and the dignity of the human person.","Holocaust|Suffering|Dignity","Catholic Social Teaching"
"Los Borgia","Mario Puzo","2001","3","Novela histórica","es","Novela sobre la familia papal Borgia que retrata la corrupción eclesiástica del Renacimiento. Aunque histórica, presenta una visión muy negativa de la institución de la Iglesia.","Corrupción|Renacimiento|Papado","Análisis histórico literario"
"El Poder del Ahora","Eckhart Tolle","1997","2","New Age","es","Propone una espiritualidad sincretista centrada en el 'yo presente' sin referencia a Dios personal ni a la redención. Incompatible con la visión cristiana de la persona y la salvación.","New Age|Sincretismo|Budismo","Contrario a CIC 27, 1700"
"The Power of Now","Eckhart Tolle","1997","2","New Age","en","Proposes a syncretic spirituality centred on the 'present self' with no reference to a personal God or redemption. Incompatible with the Christian vision of the person and salvation.","New Age|Syncretism|Buddhism","Contrary to CCC 27, 1700"
"Un Curso de Milagros","Helen Schucman","1976","1","New Age","es","Presentado como dictado por Jesús, redefine conceptos cristianos desde una perspectiva gnóstica: niega el pecado, la redención y la realidad del mal. Directamente incompatible con la doctrina católica.","Gnosticismo|New Age|Falsa revelación","Contrario a Dei Verbum, CIC 67"
"A Course in Miracles","Helen Schucman","1976","1","New Age","en","Claimed to be dictated by Jesus, it redefines Christian concepts from a Gnostic perspective: denies sin, redemption and the reality of evil. Directly incompatible with Catholic doctrine.","Gnosticism|New Age|False revelation","Contrary to Dei Verbum, CCC 67"
"Los Cuatro Acuerdos","Miguel Ruiz","1997","2","New Age","es","Basado en la espiritualidad tolteca. Propone una ética sin referencia a Dios ni a la ley moral objetiva. Incompatible con la moral católica aunque algunos principios son superficialmente compatibles.","New Age|Espiritualidad tolteca|Relativismo moral","Contrario a Veritatis Splendor"
"The Four Agreements","Miguel Ruiz","1997","2","New Age","en","Based on Toltec spirituality. Proposes an ethics with no reference to God or objective moral law. Incompatible with Catholic morality though some principles are superficially compatible.","New Age|Toltec spirituality|Moral relativism","Contrary to Veritatis Splendor"
"Conversaciones con Dios","Neale Donald Walsch","1995","1","New Age","es","Pretende ser un diálogo directo con Dios que contradice sistemáticamente la revelación cristiana: niega el infierno, el pecado y la autoridad de la Iglesia. Directamente contrario a la fe católica.","Falsa revelación|New Age|Gnosticismo","Contrario a Dei Verbum, CIC 67"
"Conversations with God","Neale Donald Walsch","1995","1","New Age","en","Claims to be a direct dialogue with God that systematically contradicts Christian revelation: denies hell, sin and the authority of the Church. Directly contrary to Catholic faith.","False revelation|New Age|Gnosticism","Contrary to Dei Verbum, CCC 67"
"El Hombre en Busca de Sentido","Viktor Frankl","1946","7","Ambiguo","es","Memoria del Holocausto y fundamento de la logoterapia. Frankl era judío pero su visión del sentido, el sufrimiento y la dignidad humana es compatible con la antropología cristiana.","Sentido|Sufrimiento|Dignidad","Compatible con antropología cristiana"
"Man's Search for Meaning","Viktor Frankl","1946","7","Ambiguous","en","Holocaust memoir and foundation of logotherapy. Frankl was Jewish but his vision of meaning, suffering and human dignity is compatible with Christian anthropology.","Meaning|Suffering|Dignity","Compatible with Christian anthropology"
"Despertando al Gigante Interior","Tony Robbins","1991","2","New Age","es","Autoayuda basada en el poder ilimitado del individuo. Visión antropológica que prescinde de Dios y coloca al yo como fuente de toda transformación. Incompatible con la visión cristiana de la gracia.","Autoayuda|Individualismo|New Age","Contrario a CIC 1700, 2559"
"Awaken the Giant Within","Tony Robbins","1991","2","New Age","en","Self-help based on the unlimited power of the individual. An anthropological vision that dispenses with God and places the self as the source of all transformation. Incompatible with the Christian vision of grace.","Self-help|Individualism|New Age","Contrary to CCC 1700, 2559"
"El Principio del Fin","Tim LaHaye y Jerry Jenkins","1995","4","Ambiguo","es","Serie de novelas evangélicas sobre el Apocalipsis. Desde la perspectiva católica, el Rapto tal como se describe no es doctrina católica. Lectura interesante pero teológicamente divergente.","Apocalipsis|Protestantismo|Escatología","Diverge de escatología católica"
"Left Behind","Tim LaHaye & Jerry Jenkins","1995","4","Ambiguous","en","Evangelical novel series about the Apocalypse. The Rapture as described is not Catholic doctrine. Interesting read but theologically divergent from Catholic eschatology.","Apocalypse|Protestantism|Eschatology","Diverges from Catholic eschatology"
"El Retrato de Dorian Gray","Oscar Wilde","1890","4","Ambiguo","es","Wilde se convirtió al catolicismo en su lecho de muerte. La novela es una parábola moral sobre el pecado y sus consecuencias, compatible con la visión católica aunque explora el hedonismo.","Pecado|Hedonismo|Moralidad","Conversión de Wilde al catolicismo"
"The Picture of Dorian Gray","Oscar Wilde","1890","4","Ambiguous","en","Wilde converted to Catholicism on his deathbed. The novel is a moral parable about sin and its consequences, compatible with the Catholic vision though it explores hedonism.","Sin|Hedonism|Morality","Wilde's conversion to Catholicism"
